scenario,capex_item,GBP,pct_of_capex,scaling_basis,note
A1 — Gas district reference (not low-carbon),network,5132775.0,26.65,network,Route length x sized pipe diameter
A1 — Gas district reference (not low-carbon),customer connections,4512000.0,23.42,per-connection,Connection count x £/connection
A1 — Gas district reference (not low-carbon),sources,2250000.0,11.68,plant,Installed MW of generating plant
A1 — Gas district reference (not low-carbon),energy centre building,2000000.0,10.38,fixed,Entered as a flat £ — does not scale
A1 — Gas district reference (not low-carbon),electricity connection,1500000.0,7.79,fixed,Entered as a flat £ — does not scale
A1 — Gas district reference (not low-carbon),contingency,1476555.0,7.67,% adder,% of plant + network ONLY (see note)
A1 — Gas district reference (not low-carbon),development and design,738278.0,3.83,% adder,% of plant + network ONLY (see note)
A1 — Gas district reference (not low-carbon),land and enabling,500000.0,2.6,fixed,Entered as a flat £ — does not scale
A1 — Gas district reference (not low-carbon),controls and scada,400000.0,2.08,fixed,Entered as a flat £ — does not scale
A1 — Gas district reference (not low-carbon),metering,282000.0,1.46,per-connection,Connection count x £/meter
A1 — Gas district reference (not low-carbon),gas connection,250000.0,1.3,fixed,Entered as a flat £ — does not scale
A1 — Gas district reference (not low-carbon),commissioning,221483.0,1.15,% adder,% of plant + network ONLY (see note)
A1 — Gas district reference (not low-carbon),thermal storage,0.0,0.0,plant,Store capacity (MWh)
A3 — ASHP plus gas peak/backup,network,5132775.0,24.35,network,Route length x sized pipe diameter
A3 — ASHP plus gas peak/backup,customer connections,4512000.0,21.4,per-connection,Connection count x £/connection
A3 — ASHP plus gas peak/backup,sources,3618500.0,17.16,plant,Installed MW of generating plant
A3 — ASHP plus gas peak/backup,energy centre building,2000000.0,9.49,fixed,Entered as a flat £ — does not scale
A3 — ASHP plus gas peak/backup,contingency,1750255.0,8.3,% adder,% of plant + network ONLY (see note)
A3 — ASHP plus gas peak/backup,electricity connection,1500000.0,7.11,fixed,Entered as a flat £ — does not scale
A3 — ASHP plus gas peak/backup,development and design,875128.0,4.15,% adder,% of plant + network ONLY (see note)
A3 — ASHP plus gas peak/backup,land and enabling,500000.0,2.37,fixed,Entered as a flat £ — does not scale
A3 — ASHP plus gas peak/backup,controls and scada,400000.0,1.9,fixed,Entered as a flat £ — does not scale
A3 — ASHP plus gas peak/backup,metering,282000.0,1.34,per-connection,Connection count x £/meter
