Archetype,Technology,Route (m),Linear heat density (MWh/m/yr),CAPEX (£m),Annual OPEX (£m),Carbon intensity (gCO2e/kWh),Carbon gate,Unmet heat (%),Service gate,Equivalent year-1 heat tariff (p/kWh),Customer bill ratio vs gas (%),Required break-even tariff (p/kWh),Investor NPV (£m),Investor IRR (%),Screening decision
Dense (town centre),Gas-only reference,900.0,14.644,15.69,0.733,196.9,FAIL,0.0,PASS,8.314,100.0,19.575,-12.94,-2.09,FAIL
Dense (town centre),ASHP + gas peak,900.0,14.644,20.57,1.944,91.3,PASS,0.0,PASS,8.314,100.0,33.683,-29.14,,FAIL
Dense (town centre),Data-centre waste heat + booster + gas peak,900.0,14.644,19.03,1.888,114.2,FAIL,0.026,PASS,8.314,100.0,31.524,-26.66,,FAIL
Dense (town centre),EfW heat export + ASHP + gas peak,900.0,14.644,21.02,0.733,61.6,PASS,0.0,PASS,8.314,100.0,24.624,-18.74,-4.67,FAIL
Middle (suburban mixed),Gas-only reference,2800.0,3.034,16.64,0.659,214.2,FAIL,0.0,PASS,8.326,100.0,32.218,-16.8,,FAIL
Middle (suburban mixed),ASHP + gas peak,2800.0,3.034,20.38,1.503,99.3,PASS,0.0,PASS,8.326,100.0,48.356,-28.14,,FAIL
Middle (suburban mixed),Data-centre waste heat + booster + gas peak,2800.0,3.034,19.28,1.518,119.6,FAIL,0.027,PASS,8.326,100.0,46.481,-26.82,,FAIL
Middle (suburban mixed),EfW heat export + ASHP + gas peak,2800.0,3.034,20.84,0.668,67.5,PASS,0.0,PASS,8.326,100.0,38.895,-21.49,,FAIL
Scarce (low-density edge),Gas-only reference,6500.0,0.65,19.29,0.608,271.2,FAIL,0.0,PASS,8.538,100.0,87.687,-22.15,,FAIL
Scarce (low-density edge),ASHP + gas peak,6500.0,0.65,20.66,1.085,126.9,FAIL,0.0,PASS,8.538,100.0,104.859,-26.95,,FAIL
Scarce (low-density edge),Data-centre waste heat + booster + gas peak,6500.0,0.65,20.25,1.077,162.5,FAIL,0.041,PASS,8.538,100.0,102.678,-26.34,,FAIL
Scarce (low-density edge),EfW heat export + ASHP + gas peak,6500.0,0.65,21.03,0.597,88.7,PASS,0.0,PASS,8.538,100.0,94.546,-24.07,,FAIL
