Scenario,Year,Cumulative discounted cash flow (£m),Cumulative undiscounted cash flow (£m)
F2 - Compact anchor cluster / private hurdle,0,-13.113921490000001,-13.113921490000001
F2 - Compact anchor cluster / private hurdle,1,-5.7722595,-5.001385
F2 - Compact anchor cluster / private hurdle,2,-5.96182443,-5.23284851
F2 - Compact anchor cluster / private hurdle,3,-6.1333764,-5.4643120199999995
F2 - Compact anchor cluster / private hurdle,4,-6.28862704,-5.695775530000001
F2 - Compact anchor cluster / private hurdle,5,-6.42912537,-5.92723904
F2 - Compact anchor cluster / private hurdle,6,-6.55627317,-6.15870255
F2 - Compact anchor cluster / private hurdle,7,-6.671339059999999,-6.390166059999999
F2 - Compact anchor cluster / private hurdle,8,-6.77547109,-6.6216295700000005
F2 - Compact anchor cluster / private hurdle,9,-6.86970821,-6.85309308
F2 - Compact anchor cluster / private hurdle,10,-6.95499068,-7.0845566
F2 - Compact anchor cluster / private hurdle,11,-7.03216938,-7.31602011
F2 - Compact anchor cluster / private hurdle,12,-7.10201436,-7.54748362
F2 - Compact anchor cluster / private hurdle,13,-7.1652224900000006,-7.77894713
F2 - Compact anchor cluster / private hurdle,14,-7.22242442,-8.01041064
F2 - Compact anchor cluster / private hurdle,15,-7.27419086,-8.241874150000001
F2 - Compact anchor cluster / private hurdle,16,-7.32103833,-8.47333766
F2 - Compact anchor cluster / private hurdle,17,-7.363434219999999,-8.70480117
F2 - Compact anchor cluster / private hurdle,18,-7.40180155,-8.936264679999999
F2 - Compact anchor cluster / private hurdle,19,-7.43652311,-9.16772819
F2 - Compact anchor cluster / private hurdle,20,-7.78493225,-11.734191699999998
F2 - Compact anchor cluster / private hurdle,21,-7.81336865,-11.96565522
F2 - Compact anchor cluster / private hurdle,22,-7.83910296,-12.19711873
F2 - Compact anchor cluster / private hurdle,23,-7.86239192,-12.42858224
F2 - Compact anchor cluster / private hurdle,24,-7.8834679,-12.66004575
F2 - Compact anchor cluster / private hurdle,25,-7.90254119,-12.89150926
F2 - Compact anchor cluster / private hurdle,26,-7.91980209,-13.122972769999999
F2 - Compact anchor cluster / private hurdle,27,-7.9354228099999995,-13.35443628
F2 - Compact anchor cluster / private hurdle,28,-7.9495592,-13.58589979
F2 - Compact anchor cluster / private hurdle,29,-7.96235232,-13.8173633
F2 - Compact anchor cluster / private hurdle,30,-7.99865901,-14.54322681
F2 - Compact anchor cluster / private hurdle,31,-8.00913637,-14.77469032
F2 - Compact anchor cluster / private hurdle,32,-8.01861815,-15.00615384
F2 - Compact anchor cluster / private hurdle,33,-8.02719894,-15.237617349999999
F2 - Compact anchor cluster / private hurdle,34,-8.03496436,-15.46908086
F2 - Compact anchor cluster / private hurdle,35,-8.04199189,-15.70054437
F2 - Compact anchor cluster / private hurdle,36,-8.04835165,-15.93200788
F2 - Compact anchor cluster / private hurdle,37,-8.05410709,-16.16347139
F2 - Compact anchor cluster / private hurdle,38,-8.05931563,-16.3949349
F2 - Compact anchor cluster / private hurdle,39,-8.06402924,-16.62639841
F2 - Compact anchor cluster / private hurdle,40,-8.11132737,-19.192861920000002
DC1 - Data-centre-only service stress test,0,-12.58061532,-12.58061532
DC1 - Data-centre-only service stress test,1,-5.225022559999999,-4.45268531
DC1 - Data-centre-only service stress test,2,-5.40198043,-4.6687553
DC1 - Data-centre-only service stress test,3,-5.56212331,-4.8848253
DC1 - Data-centre-only service stress test,4,-5.707048980000001,-5.10089529
DC1 - Data-centre-only service stress test,5,-5.83820344,-5.316965280000001
DC1 - Data-centre-only service stress test,6,-5.95689526,-5.533035269999999
DC1 - Data-centre-only service stress test,7,-6.06430867,-5.749105259999999
DC1 - Data-centre-only service stress test,8,-6.16151538,-5.96517525
DC1 - Data-centre-only service stress test,9,-6.24948525,-6.18124524
DC1 - Data-centre-only service stress test,10,-6.32909599,-6.39731523
DC1 - Data-centre-only service stress test,11,-6.40114191,-6.61338522
DC1 - Data-centre-only service stress test,12,-6.46634184,-6.82945521
DC1 - Data-centre-only service stress test,13,-6.5253463,-7.0455252
DC1 - Data-centre-only service stress test,14,-6.578744,-7.26159519
DC1 - Data-centre-only service stress test,15,-7.230918440000001,-10.17766518
DC1 - Data-centre-only service stress test,16,-7.2746503,-10.39373517
DC1 - Data-centre-only service stress test,17,-7.31422665,-10.60980516
DC1 - Data-centre-only service stress test,18,-7.35004235,-10.82587515
DC1 - Data-centre-only service stress test,19,-7.38245475,-11.041945140000001
DC1 - Data-centre-only service stress test,20,-7.411787240000001,-11.25801513
DC1 - Data-centre-only service stress test,21,-7.438332480000001,-11.47408512
DC1 - Data-centre-only service stress test,22,-7.46235532,-11.69015511
DC1 - Data-centre-only service stress test,23,-7.484095440000001,-11.9062251
DC1 - Data-centre-only service stress test,24,-7.50376977,-12.122295099999999
DC1 - Data-centre-only service stress test,25,-7.626267599999999,-13.60886509
DC1 - Data-centre-only service stress test,26,-7.642380559999999,-13.82493508
DC1 - Data-centre-only service stress test,27,-7.65696242,-14.04100507
DC1 - Data-centre-only service stress test,28,-7.67015867,-14.25707506
DC1 - Data-centre-only service stress test,29,-7.68210098,-14.473145050000001
DC1 - Data-centre-only service stress test,30,-7.82795876,-17.38921504
DC1 - Data-centre-only service stress test,31,-7.83773933,-17.60528503
DC1 - Data-centre-only service stress test,32,-7.8465905099999995,-17.82135502
DC1 - Data-centre-only service stress test,33,-7.854600639999999,-18.037425010000003
DC1 - Data-centre-only service stress test,34,-7.86184962,-18.253495
DC1 - Data-centre-only service stress test,35,-7.86840978,-18.46956499
DC1 - Data-centre-only service stress test,36,-7.87434658,-18.68563498
DC1 - Data-centre-only service stress test,37,-7.87971925,-18.901704969999997
DC1 - Data-centre-only service stress test,38,-7.8845814,-19.117774960000002
DC1 - Data-centre-only service stress test,39,-7.888981530000001,-19.33384495
DC1 - Data-centre-only service stress test,40,-7.89296355,-19.54991494
DC2 - Typical air-cooled data centre plus reserve,0,-13.93440949,-13.93440949
DC2 - Typical air-cooled data centre plus reserve,1,-6.94158642,-6.20734
DC2 - Typical air-cooled data centre plus reserve,2,-7.44684266,-6.8242705
DC2 - Typical air-cooled data centre plus reserve,3,-7.90408814,-7.4412010099999994
DC2 - Typical air-cooled data centre plus reserve,4,-8.31788495,-8.05813152
DC2 - Typical air-cooled data centre plus reserve,5,-8.69236169,-8.67506203
DC2 - Typical air-cooled data centre plus reserve,6,-9.03125468,-9.291992539999999
DC2 - Typical air-cooled data centre plus reserve,7,-9.33794517,-9.90892305
DC2 - Typical air-cooled data centre plus reserve,8,-9.61549312,-10.52585356
DC2 - Typical air-cooled data centre plus reserve,9,-9.86666773,-11.142784070000001
DC2 - Typical air-cooled data centre plus reserve,10,-10.09397508,-11.75971458
DC2 - Typical air-cooled data centre plus reserve,11,-10.29968308,-12.37664509
DC2 - Typical air-cooled data centre plus reserve,12,-10.48584417,-12.9935756
DC2 - Typical air-cooled data centre plus reserve,13,-10.65431574,-13.61050611
DC2 - Typical air-cooled data centre plus reserve,14,-10.806778710000001,-14.227436619999999
DC2 - Typical air-cooled data centre plus reserve,15,-11.49224556,-17.29236713
DC2 - Typical air-cooled data centre plus reserve,16,-11.6171103,-17.909297640000002
DC2 - Typical air-cooled data centre plus reserve,17,-11.730110060000001,-18.526228149999998
DC2 - Typical air-cooled data centre plus reserve,18,-11.832372289999999,-19.14315866
DC2 - Typical air-cooled data centre plus reserve,19,-11.92491729,-19.76008916
DC2 - Typical air-cooled data centre plus reserve,20,-12.00866842,-20.377019670000003
DC2 - Typical air-cooled data centre plus reserve,21,-12.084461300000001,-20.99395018
DC2 - Typical air-cooled data centre plus reserve,22,-12.15305214,-21.610880690000002
DC2 - Typical air-cooled data centre plus reserve,23,-12.2151253,-22.227811199999998
DC2 - Typical air-cooled data centre plus reserve,24,-12.271300109999999,-22.84474171
DC2 - Typical air-cooled data centre plus reserve,25,-12.390663369999999,-24.29327222
DC2 - Typical air-cooled data centre plus reserve,26,-12.43666964,-24.91020273
DC2 - Typical air-cooled data centre plus reserve,27,-12.47830428,-25.527133239999998
DC2 - Typical air-cooled data centre plus reserve,28,-12.51598268,-26.14406375
DC2 - Typical air-cooled data centre plus reserve,29,-12.55008078,-26.76099426
DC2 - Typical air-cooled data centre plus reserve,30,-12.75490353,-30.855924769999998
DC2 - Typical air-cooled data centre plus reserve,31,-12.78282933,-31.47285528
DC2 - Typical air-cooled data centre plus reserve,32,-12.80810155,-32.08978579
DC2 - Typical air-cooled data centre plus reserve,33,-12.83097233,-32.706716300000004
DC2 - Typical air-cooled data centre plus reserve,34,-12.851669869999998,-33.32364681
DC2 - Typical air-cooled data centre plus reserve,35,-12.87040068,-33.94057732
DC2 - Typical air-cooled data centre plus reserve,36,-12.88735164,-34.55750782
DC2 - Typical air-cooled data centre plus reserve,37,-12.90269187,-35.17443833
