Technology,Route (m),Linear heat density (MWh/m/yr),Required break-even tariff (p/kWh),Equivalent gas-parity tariff (p/kWh)
ASHP + gas peak,250,44.51,33.645,7.954
ASHP + gas peak,400,27.819,33.959,7.954
ASHP + gas peak,600,18.546,34.377,7.954
ASHP + gas peak,900,12.364,35.004,7.954
ASHP + gas peak,1300,8.56,35.841,7.954
ASHP + gas peak,1800,6.182,36.887,7.954
ASHP + gas peak,2500,4.451,38.353,7.954
ASHP + gas peak,3500,3.179,40.449,7.954
ASHP + gas peak,5000,2.225,43.597,7.954
ASHP + gas peak,7000,1.59,48.404,7.954
ASHP + gas peak,10000,1.113,56.819,7.954
ASHP + gas peak,14000,0.795,68.069,7.954
ASHP + gas peak,19000,0.586,82.182,7.954
Data-centre waste heat + booster + gas peak,250,44.51,30.529,7.954
Data-centre waste heat + booster + gas peak,400,27.819,30.848,7.954
Data-centre waste heat + booster + gas peak,600,18.546,31.273,7.954
Data-centre waste heat + booster + gas peak,900,12.364,31.912,7.954
Data-centre waste heat + booster + gas peak,1300,8.56,32.763,7.954
Data-centre waste heat + booster + gas peak,1800,6.182,33.827,7.954
Data-centre waste heat + booster + gas peak,2500,4.451,35.318,7.954
Data-centre waste heat + booster + gas peak,3500,3.179,37.449,7.954
Data-centre waste heat + booster + gas peak,5000,2.225,40.65,7.954
Data-centre waste heat + booster + gas peak,7000,1.59,44.925,7.954
Data-centre waste heat + booster + gas peak,10000,1.113,60.736,7.954
Data-centre waste heat + booster + gas peak,14000,0.795,72.118,7.954
Data-centre waste heat + booster + gas peak,19000,0.586,86.383,7.954
EfW heat export + ASHP + gas peak,250,44.51,24.556,7.954
EfW heat export + ASHP + gas peak,400,27.819,24.837,7.954
EfW heat export + ASHP + gas peak,600,18.546,25.212,7.954
EfW heat export + ASHP + gas peak,900,12.364,25.774,7.954
EfW heat export + ASHP + gas peak,1300,8.56,26.523,7.954
EfW heat export + ASHP + gas peak,1800,6.182,27.46,7.954
EfW heat export + ASHP + gas peak,2500,4.451,28.774,7.954
EfW heat export + ASHP + gas peak,3500,3.179,30.652,7.954
EfW heat export + ASHP + gas peak,5000,2.225,33.474,7.954
EfW heat export + ASHP + gas peak,7000,1.59,37.975,7.954
EfW heat export + ASHP + gas peak,10000,1.113,45.739,7.954
EfW heat export + ASHP + gas peak,14000,0.795,56.123,7.954
EfW heat export + ASHP + gas peak,19000,0.586,69.157,7.954
