Group,Scenario,Year,Cumulative discounted (£),Cumulative undiscounted (£)
Worked technology option,A1 — Gas district reference (not low-carbon),0,-19263091.23,-19263091.23
Worked technology option,A1 — Gas district reference (not low-carbon),1,-19338126.57,-19346005.28
Worked technology option,A1 — Gas district reference (not low-carbon),2,-19233993.88,-19218856.67
Worked technology option,A1 — Gas district reference (not low-carbon),3,-19029476.03,-18942914.51
Worked technology option,A1 — Gas district reference (not low-carbon),4,-18844392.0,-18666972.35
Worked technology option,A1 — Gas district reference (not low-carbon),5,-18676895.14,-18391030.19
Worked technology option,A1 — Gas district reference (not low-carbon),6,-18525314.28,-18115088.03
Worked technology option,A1 — Gas district reference (not low-carbon),7,-18388137.02,-17839145.87
Worked technology option,A1 — Gas district reference (not low-carbon),8,-18263994.71,-17563203.72
Worked technology option,A1 — Gas district reference (not low-carbon),9,-18151648.72,-17287261.56
Worked technology option,A1 — Gas district reference (not low-carbon),10,-18049978.15,-17011319.4
Worked technology option,A1 — Gas district reference (not low-carbon),11,-17957968.58,-16735377.24
Worked technology option,A1 — Gas district reference (not low-carbon),12,-17874702.0,-16459435.08
Worked technology option,A1 — Gas district reference (not low-carbon),13,-17799347.63,-16183492.93
Worked technology option,A1 — Gas district reference (not low-carbon),14,-17731153.63,-15907550.77
Worked technology option,A1 — Gas district reference (not low-carbon),15,-17669439.6,-15631608.61
Worked technology option,A1 — Gas district reference (not low-carbon),16,-17613589.81,-15355666.45
Worked technology option,A1 — Gas district reference (not low-carbon),17,-17563047.0,-15079724.29
Worked technology option,A1 — Gas district reference (not low-carbon),18,-17517306.91,-14803782.14
Worked technology option,A1 — Gas district reference (not low-carbon),19,-17475913.16,-14527839.98
Worked technology option,A1 — Gas district reference (not low-carbon),20,-17591176.64,-15376897.82
Worked technology option,A1 — Gas district reference (not low-carbon),21,-17557275.81,-15100955.66
Worked technology option,A1 — Gas district reference (not low-carbon),22,-17526596.34,-14825013.5
Worked technology option,A1 — Gas district reference (not low-carbon),23,-17498832.11,-14549071.35
Worked technology option,A1 — Gas district reference (not low-carbon),24,-17473706.1,-14273129.19
Worked technology option,A1 — Gas district reference (not low-carbon),25,-17450967.64,-13997187.03
Worked technology option,A1 — Gas district reference (not low-carbon),26,-17430389.85,-13721244.87
Worked technology option,A1 — Gas district reference (not low-carbon),27,-17411767.41,-13445302.71
Worked technology option,A1 — Gas district reference (not low-carbon),28,-17394914.52,-13169360.55
Worked technology option,A1 — Gas district reference (not low-carbon),29,-17379663.04,-12893418.4
Worked technology option,A1 — Gas district reference (not low-carbon),30,-17365860.8,-12617476.24
Worked technology option,A1 — Gas district reference (not low-carbon),31,-17353370.08,-12341534.08
Worked technology option,A1 — Gas district reference (not low-carbon),32,-17342066.26,-12065591.92
Worked technology option,A1 — Gas district reference (not low-carbon),33,-17331836.56,-11789649.76
Worked technology option,A1 — Gas district reference (not low-carbon),34,-17322578.91,-11513707.61
Worked technology option,A1 — Gas district reference (not low-carbon),35,-17314200.95,-11237765.45
Worked technology option,A1 — Gas district reference (not low-carbon),36,-17306619.09,-10961823.29
Worked technology option,A1 — Gas district reference (not low-carbon),37,-17299757.67,-10685881.13
Worked technology option,A1 — Gas district reference (not low-carbon),38,-17293548.25,-10409938.97
Worked technology option,A1 — Gas district reference (not low-carbon),39,-17287928.86,-10133996.82
Worked technology option,A1 — Gas district reference (not low-carbon),40,-17303576.4,-10983054.66
Worked technology option,A3 — ASHP plus gas peak/backup,0,-20450116.23,-20450116.23
Worked technology option,A3 — ASHP plus gas peak/backup,1,-20990166.07,-21046871.3
Worked technology option,A3 — ASHP plus gas peak/backup,2,-21517119.47,-21690294.57
Worked technology option,A3 — ASHP plus gas peak/backup,3,-22018501.33,-22366775.35
Worked technology option,A3 — ASHP plus gas peak/backup,4,-22472240.58,-23043256.12
Worked technology option,A3 — ASHP plus gas peak/backup,5,-22882864.33,-23719736.89
Worked technology option,A3 — ASHP plus gas peak/backup,6,-23254469.54,-24396217.66
Worked technology option,A3 — ASHP plus gas peak/backup,7,-23590763.84,-25072698.43
Worked technology option,A3 — ASHP plus gas peak/backup,8,-23895102.58,-25749179.21
Worked technology option,A3 — ASHP plus gas peak/backup,9,-24170522.25,-26425659.98
Worked technology option,A3 — ASHP plus gas peak/backup,10,-24419770.82,-27102140.75
Worked technology option,A3 — ASHP plus gas peak/backup,11,-24645335.13,-27778621.52
Worked technology option,A3 — ASHP plus gas peak/backup,12,-24849465.74,-28455102.29
Worked technology option,A3 — ASHP plus gas peak/backup,13,-25034199.32,-29131583.07
Worked technology option,A3 — ASHP plus gas peak/backup,14,-25201379.03,-29808063.84
Worked technology option,A3 — ASHP plus gas peak/backup,15,-25578110.48,-31492544.61
Worked technology option,A3 — ASHP plus gas peak/backup,16,-25715028.0,-32169025.38
Worked technology option,A3 — ASHP plus gas peak/backup,17,-25838935.25,-32845506.15
Worked technology option,A3 — ASHP plus gas peak/backup,18,-25951068.51,-33521986.93
Worked technology option,A3 — ASHP plus gas peak/backup,19,-26052546.58,-34198467.7
Worked technology option,A3 — ASHP plus gas peak/backup,20,-26243652.46,-35606198.47
Worked technology option,A3 — ASHP plus gas peak/backup,21,-26326761.37,-36282679.24
Worked technology option,A3 — ASHP plus gas peak/backup,22,-26401973.06,-36959160.01
Worked technology option,A3 — ASHP plus gas peak/backup,23,-26470037.94,-37635640.79
Worked technology option,A3 — ASHP plus gas peak/backup,24,-26531635.11,-38312121.56
Worked technology option,A3 — ASHP plus gas peak/backup,25,-26587379.16,-38988602.33
Worked technology option,A3 — ASHP plus gas peak/backup,26,-26637826.26,-39665083.1
Worked technology option,A3 — ASHP plus gas peak/backup,27,-26683479.75,-40341563.87
Worked technology option,A3 — ASHP plus gas peak/backup,28,-26724795.12,-41018044.65
Worked technology option,A3 — ASHP plus gas peak/backup,29,-26762184.6,-41694525.42
Worked technology option,A3 — ASHP plus gas peak/backup,30,-26846439.99,-43379006.19
Worked technology option,A3 — ASHP plus gas peak/backup,31,-26877061.38,-44055486.96
Worked technology option,A3 — ASHP plus gas peak/backup,32,-26904773.04,-44731967.73
Worked technology option,A3 — ASHP plus gas peak/backup,33,-26929851.47,-45408448.51
Worked technology option,A3 — ASHP plus gas peak/backup,34,-26952546.87,-46084929.28
Worked technology option,A3 — ASHP plus gas peak/backup,35,-26973085.71,-46761410.05
Worked technology option,A3 — ASHP plus gas peak/backup,36,-26991672.88,-47437890.82
Worked technology option,A3 — ASHP plus gas peak/backup,37,-27008493.86,-48114371.6
Worked technology option,A3 — ASHP plus gas peak/backup,38,-27023716.46,-48790852.37
Worked technology option,A3 — ASHP plus gas peak/backup,39,-27037492.57,-49467333.14
Worked technology option,A3 — ASHP plus gas peak/backup,40,-27063436.07,-50875063.91
Worked technology option,A4 — Data-centre heat plus booster and backup,0,-23121022.23,-23121022.23
Worked technology option,A4 — Data-centre heat plus booster and backup,1,-23772729.87,-23841159.17
Worked technology option,A4 — Data-centre heat plus booster and backup,2,-24448420.61,-24666194.46
Worked technology option,A4 — Data-centre heat plus booster and backup,3,-25114976.64,-25565533.6
Worked technology option,A4 — Data-centre heat plus booster and backup,4,-25718194.76,-26464872.73
Worked technology option,A4 — Data-centre heat plus booster and backup,5,-26264093.51,-27364211.87
