Technology,Duty,Route (m),Density (MWh/m/yr),Required break-even tariff (p/kWh),Modelled parity tariff (p/kWh)
ASHP + gas backup,Heating only,250,44.51,33.645,7.954
ASHP + gas backup,Heating only,400,27.819,33.959,7.954
ASHP + gas backup,Heating only,600,18.546,34.377,7.954
ASHP + gas backup,Heating only,900,12.364,35.004,7.954
ASHP + gas backup,Heating only,1300,8.56,35.841,7.954
ASHP + gas backup,Heating only,1800,6.182,36.887,7.954
ASHP + gas backup,Heating only,2500,4.451,38.353,7.954
ASHP + gas backup,Heating only,3500,3.179,40.449,7.954
ASHP + gas backup,Heating only,5000,2.225,43.597,7.954
ASHP + gas backup,Heating only,7000,1.59,48.404,7.954
ASHP + gas backup,Heating only,10000,1.113,56.819,7.954
ASHP + gas backup,Heating only,14000,0.795,68.069,7.954
ASHP + gas backup,Heating only,19000,0.586,82.182,7.954
ASHP + gas backup,Heating + cooling,250,49.074999999999996,36.962,7.954
ASHP + gas backup,Heating + cooling,400,30.672,37.549,7.954
ASHP + gas backup,Heating + cooling,600,20.448,38.332,7.954
ASHP + gas backup,Heating + cooling,900,13.632000000000001,39.508,7.954
ASHP + gas backup,Heating + cooling,1300,9.438,41.075,7.954
ASHP + gas backup,Heating + cooling,1800,6.816000000000001,43.035,7.954
ASHP + gas backup,Heating + cooling,2500,4.907,45.78,7.954
ASHP + gas backup,Heating + cooling,3500,3.505,49.704,7.954
ASHP + gas backup,Heating + cooling,5000,2.4530000000000003,57.664,7.954
ASHP + gas backup,Heating + cooling,7000,1.7530000000000001,68.319,7.954
ASHP + gas backup,Heating + cooling,10000,1.227,84.326,7.954
ASHP + gas backup,Heating + cooling,14000,0.877,105.715,7.954
ASHP + gas backup,Heating + cooling,19000,0.6459999999999999,132.524,7.954
EfW + ASHP (no gas),Heating only,250,44.51,27.556,7.954
EfW + ASHP (no gas),Heating only,400,27.819,27.837,7.954
EfW + ASHP (no gas),Heating only,600,18.546,28.212,7.954
EfW + ASHP (no gas),Heating only,900,12.364,28.773,7.954
EfW + ASHP (no gas),Heating only,1300,8.56,29.523,7.954
EfW + ASHP (no gas),Heating only,1800,6.182,30.46,7.954
EfW + ASHP (no gas),Heating only,2500,4.451,31.774,7.954
EfW + ASHP (no gas),Heating only,3500,3.179,33.652,7.954
EfW + ASHP (no gas),Heating only,5000,2.225,36.68,7.954
EfW + ASHP (no gas),Heating only,7000,1.59,41.844,7.954
EfW + ASHP (no gas),Heating only,10000,1.113,49.607,7.954
EfW + ASHP (no gas),Heating only,14000,0.795,59.992,7.954
EfW + ASHP (no gas),Heating only,19000,0.586,73.026,7.954
EfW + ASHP (no gas),Heating + cooling,250,49.074999999999996,30.843,7.954
EfW + ASHP (no gas),Heating + cooling,400,30.672,31.397,7.954
EfW + ASHP (no gas),Heating + cooling,600,20.448,32.137,7.954
EfW + ASHP (no gas),Heating + cooling,900,13.632000000000001,33.246,7.954
EfW + ASHP (no gas),Heating + cooling,1300,9.438,34.726,7.954
EfW + ASHP (no gas),Heating + cooling,1800,6.816000000000001,36.577,7.954
EfW + ASHP (no gas),Heating + cooling,2500,4.907,39.169,7.954
EfW + ASHP (no gas),Heating + cooling,3500,3.505,43.849,7.954
EfW + ASHP (no gas),Heating + cooling,5000,2.4530000000000003,51.505,7.954
EfW + ASHP (no gas),Heating + cooling,7000,1.7530000000000001,61.723,7.954
EfW + ASHP (no gas),Heating + cooling,10000,1.227,77.078,7.954
EfW + ASHP (no gas),Heating + cooling,14000,0.877,97.598,7.954
EfW + ASHP (no gas),Heating + cooling,19000,0.6459999999999999,123.325,7.954
Data centre + booster + electric backup,Heating only,250,44.51,31.893,7.954
Data centre + booster + electric backup,Heating only,400,27.819,32.22,7.954
Data centre + booster + electric backup,Heating only,600,18.546,32.657,7.954
Data centre + booster + electric backup,Heating only,900,12.364,33.312,7.954
Data centre + booster + electric backup,Heating only,1300,8.56,34.186,7.954
Data centre + booster + electric backup,Heating only,1800,6.182,35.279,7.954
Data centre + booster + electric backup,Heating only,2500,4.451,36.81,7.954
Data centre + booster + electric backup,Heating only,3500,3.179,39.0,7.954
Data centre + booster + electric backup,Heating only,5000,2.225,42.29,7.954
Data centre + booster + electric backup,Heating only,7000,1.59,46.686,7.954
Data centre + booster + electric backup,Heating only,10000,1.113,54.841,7.954
Data centre + booster + electric backup,Heating only,14000,0.795,74.129,7.954
Data centre + booster + electric backup,Heating only,19000,0.586,88.749,7.954
Data centre + booster + electric backup,Heating + cooling,250,49.074999999999996,35.218,7.954
Data centre + booster + electric backup,Heating + cooling,400,30.672,35.819,7.954
Data centre + booster + electric backup,Heating + cooling,600,20.448,36.621,7.954
Data centre + booster + electric backup,Heating + cooling,900,13.632000000000001,37.824,7.954
Data centre + booster + electric backup,Heating + cooling,1300,9.438,39.429,7.954
Data centre + booster + electric backup,Heating + cooling,1800,6.816000000000001,41.436,7.954
Data centre + booster + electric backup,Heating + cooling,2500,4.907,44.246,7.954
Data centre + booster + electric backup,Heating + cooling,3500,3.505,48.265,7.954
Data centre + booster + electric backup,Heating + cooling,5000,2.4530000000000003,55.216,7.954
Data centre + booster + electric backup,Heating + cooling,7000,1.7530000000000001,66.063,7.954
Data centre + booster + electric backup,Heating + cooling,10000,1.227,82.36,7.954
Data centre + booster + electric backup,Heating + cooling,14000,0.877,112.571,7.954
Data centre + booster + electric backup,Heating + cooling,19000,0.6459999999999999,139.89,7.954
