Technology mix,Support case,Demand scale,Route (km),Annual heat (GWh),Annual cooling (GWh),Linear heat density (MWh/m/yr),Investor NPV (£m),Investor IRR (%),Equivalent heat tariff (p/kWh),Break-even heat tariff (p/kWh),Carbon (gCO2e/kWh),Unmet heat (MWh),Unmet cooling (MWh),Decision,Failed gates
Gas boiler reference,True,0.5,1.0,7.0575,0.0,7.058,-6.86800972,,8.171,18.581,201.6,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,0.5,1.5,7.0575,0.0,4.705,-8.05722563,,8.171,20.383,206.2,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,0.5,2.0,7.0575,0.0,3.529,-9.24674923,,8.171,22.186,210.7,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,0.5,2.5,7.0575,0.0,2.823,-10.436572210000001,,8.171,23.99,215.29999999999998,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,0.5,3.0,7.0575,0.0,2.353,-11.62671401,,8.171,25.793,219.79999999999998,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.0,1.0,14.115,0.0,14.115,-4.731742349999999,,8.168,11.754,197.0,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.0,1.5,14.115,0.0,9.41,-6.03686542,,8.168,12.743,199.3,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.0,2.0,14.115,0.0,7.058,-7.34233257,,8.168,13.732,201.5,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.0,2.5,14.115,0.0,5.646,-8.648134050000001,,8.168,14.722,203.7,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.0,3.0,14.115,0.0,4.705,-9.95428858,,8.168,15.712,206.0,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.5,1.0,21.1725,0.0,21.172,-2.4369426499999998,4.295144,8.167,9.398,195.89999999999998,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.5,1.5,21.1725,0.0,14.115,-3.77925368,1.782973,8.167,10.076,197.7,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.5,2.0,21.1725,0.0,10.586,-5.1223183,-0.527609,8.167,10.755,199.4,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.5,2.5,21.1725,0.0,8.469,-6.46612767,-3.212082,8.167,11.434,201.1,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,1.5,3.0,21.1725,0.0,7.058,-7.81070013,,8.167,12.113,202.8,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,2.0,1.0,28.23,0.0,28.23,-0.28065742,9.923549,8.166,8.273,195.39999999999998,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,2.0,1.5,28.23,0.0,18.82,-1.7285905,7.319117,8.166,8.821,196.8,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,2.0,2.0,28.23,0.0,14.115,-3.17712246,5.20177,8.166,9.37,198.3,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,2.0,2.5,28.23,0.0,11.292,-4.62627259,3.4226739999999998,8.166,9.919,199.7,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Gas boiler reference,True,2.0,3.0,28.23,0.0,9.41,-6.07602242,1.8678130000000002,8.166,10.469,201.2,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,0.5,1.0,7.0575,0.0,7.058,-17.06567119,,8.171,34.037,218.9,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,0.5,1.5,7.0575,0.0,4.705,-18.455555699999998,,8.171,36.144,223.8,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,0.5,2.0,7.0575,0.0,3.529,-19.84573517,,8.171,38.251,228.7,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,0.5,2.5,7.0575,0.0,2.823,-21.23620023,,8.171,40.359,233.6,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,0.5,3.0,7.0575,0.0,2.353,-22.626969589999998,,8.171,42.467,238.6,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,1.0,1.0,14.115,0.0,14.115,-23.9557835,,8.168,26.323,213.9,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,1.0,1.5,14.115,0.0,9.41,-25.4516372,,8.168,27.456,216.29999999999998,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,1.0,2.0,14.115,0.0,7.058,-26.94782893,,8.168,28.59,218.79999999999998,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,1.0,2.5,14.115,0.0,5.646,-28.44434936,,8.168,29.724,221.20000000000002,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,1.0,3.0,14.115,0.0,4.705,-29.94121717,,8.168,30.859,223.6,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,1.5,1.0,21.1725,0.0,21.172,-30.707264379999998,,8.167,23.681,212.7,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
Electric boiler,True,1.5,1.5,21.1725,0.0,14.115,-32.24031073,,8.167,24.456,214.60000000000002,0.0,0.0,FAIL,Carbon intensity; Investor NPV; Investor IRR
